tanggal;wp_id;omzet_est;tarif;expected_tax;paid_tax;ratio_paid_expected;month;sector_name;kec_code
01/01/2024;1745;18.117.053.040.719.500;0.029911403782601535;6.112.800.652.573.390;30.699.878.835.283.800;5.022.228.039.181.950;1;sector_reklame;52
02/01/2024;1674;7.233.900.468.301.530;0.07093663413926032;15.082.532.710.032.900;50.366.392.304.867.200;0.3339385584183966;1;sector_hotel;7
03/01/2024;1115;35.284.554.645.099.200;0.0795016248303949;3.777.045.591.871.480;793.921.998.536.535;21.019.656.216.094.400;1;sector_reklame;76
04/01/2024;1604;4.475.472.367.867.410;0.052589186819595894;20.614.818.050.633.800;6.168.044.833.126.640;0.2992044275131019;1;sector_restoran;19
05/01/2024;1041;10.815.736.151.539.500;0.0655954231655615;5.247.215.762.944.940;6.265.673.289.468.390;11.940.948.443.011.700;1;sector_reklame;90
06/01/2024;1795;1.957.210.018.026.270;0.05106933314401588;22.254.940.618.550.900;3.118.769.834.543.930;14.013.831.301.550.300;1;sector_hotel;92
07/01/2024;1378;802.546.325.843.068;0.0904682232332061;20.897.802.459.721.600;4.766.004.962.784.660;0.22806249470348117;1;sector_restoran;15
08/01/2024;1721;4.988.393.218.826.040;0.054808226246288734;1.969.764.433.194.640;29.016.504.797.109.200;14.730.951.736.218.000;1;sector_restoran;78
09/01/2024;1205;8.834.043.314.887.800;0.08576278381259371;24.413.737.242.754.900;25.402.506.573.102.700;10.405.005.313.408.600;1;sector_restoran;48
10/01/2024;1465;5.686.042.340.150.150;0.08212168524432238;10.192.079.375.387.900;21.460.507.083.004.000;21.056.063.529.908.700;1;sector_parkir;14
11/01/2024;1731;3.365.185.938.744.670;0.046945433921352094;10.398.188.352.283.300;12.241.140.456.742.100;11.772.378.073.969.100;1;sector_hotel;3
12/01/2024;1279;6.380.874.627.409.150;0.030707604267172756;32.748.654.002.754.400;9.260.081.415.464.720;0.02827621988581844;1;sector_hotel;50
13/01/2024;1647;24.052.446.507.934.300;0.04654739193037939;31.208.182.713.265.100;5.924.628.706.963.630;18.984.215.650.741.300;1;sector_restoran;93
