tanggal,wp_id,omset,target_pajak,Pajak_dibayar,rasio_pajakdibayar,bulan,kode_sector,nama_kecamatan,nama_sektor
2024-10-29,1546,7332267.007953086,418342.9109529177,98157.01861793034,0.655545161488425,10,2,Argapura,sector_parkir
2021-04-20,1419,8304079.928215618,160300.6376889804,62517.51221506755,0.4638296934742758,11,3,Talaga,sector_hotel
2020-10-30,1183,7484950.717249596,506567.8245682434,50120.48849033914,0.9336264817206577,5,1,Sindang,sector_reklame
2023-08-21,1610,6343803.164291932,86128.87281486913,38433.163415082636,0.8324390891733504,9,3,Rajagaluh,sector_hotel
2020-10-16,1236,4326967.302490992,47471.97784872359,53983.51842652036,0.5043219966004324,4,4,Bantarujeg,sector_restoran
2020-07-26,1914,9030961.35555855,520315.53178797965,38072.58927170881,0.7048546209097681,10,1,Leuwimunding,sector_reklame
2022-05-17,1508,6544588.861883951,248649.07577812477,36054.801956617965,0.5712606526578877,5,4,Panyingkiran,sector_restoran
2024-12-14,1440,4043717.6874625,96278.43409012949,46448.25951802911,0.5920628160043819,9,1,Banjaran,sector_reklame
2021-08-04,1980,926346.0223013766,424488.67490014463,27670.70506375196,0.33766630874309655,4,2,Kertajati,sector_parkir
2021-01-04,1121,2977978.073453383,915225.5987778773,18086.985006681865,0.4674637585786478,5,4,Talaga,sector_restoran
2020-08-07,1416,5482894.674818631,724468.2542075008,55704.92922821132,0.08734021648184676,5,3,Kadipaten,sector_hotel
2023-06-08,1534,2828790.163160326,815800.2994316806,84292.26707141507,0.36377520474794656,4,3,Lemahsugih,sector_hotel
2022-03-12,1374,2290229.944387231,872042.0747698778,15367.534954816641,0.6988702302085305,4,2,Panyingkiran,sector_parkir
2022-03-29,1574,5321195.789469687,972655.1136550226,3370.160626361443,0.9536838702011244,11,2,Cigasong,sector_parkir
2020-12-14,1325,1781221.4243677724,763483.3269406589,24756.49334088821,0.9634334716353901,5,3,Palasah,sector_hotel
2020-09-11,1479,8024059.6269185245,608799.5140175401,97974.0922810357,0.5601656404336427,12,2,Sindang,sector_parkir
2021-03-27,1149,4895244.698292314,366060.454421945,82892.9315669596,0.6105560292914862,6,1,Argapura,sector_reklame
2020-05-21,1706,5781241.462230236,182461.59332115838,59627.018747506794,0.19386397364595784,7,3,Sumberjaya,sector_hotel
2022-12-28,1994,1559094.3492137506,686973.214109311,92931.96663278928,0.6983550270125954,6,4,Kasokandel,sector_restoran
2020-03-29,1591,3313305.722730737,994955.0361358199,44583.38377204074,0.07995220474764238,1,3,Talaga,sector_hotel
2022-05-20,1489,4159887.8642854136,467891.32593430014,98329.73219725987,0.2918388289414501,2,2,Maja,sector_parkir
