tanggal,wp_id,omset,target_pajak,pajak_dibayar,rasio_pajakdibayar,bulan,kode_sector,nama_kecamatan,nama_sektor,kode_kecamatan_2,kode_kecamatan_3,kode_kecamatan_4,kode_kecamatan_5,kode_kecamatan_6,kode_kecamatan_7,kode_kecamatan_8,kode_kecamatan_9,kode_kecamatan_10,kode_kecamatan_11,kode_kecamatan_12,kode_kecamatan_13,kode_kecamatan_14,kode_kecamatan_15,kode_kecamatan_16,kode_kecamatan_17,kode_kecamatan_18,kode_kecamatan_19,kode_kecamatan_20,kode_kecamatan_21,kode_kecamatan_22,kode_kecamatan_23,kode_kecamatan_24,kode_kecamatan_25,kode_kecamatan_26
2021-03-08,1564,329467525.35,39331590.7,8481381.99,0.215638,12,1,Sindangwangi,sector_reklame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,1870,451306090.39,14689326.41,3539179.33,0.240935,3,4,Cigasong,sector_restoran,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,1089,624032931.67,31147684.46,4746798.13,0.152397,11,2,Cikijing,sector_parkir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-28,1067,600573689.16,43580964.6,1374319.31,0.031535,8,1,Kadipaten,sector_reklame,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,1268,27322007.77,66881469.8,7041332.34,0.105281,8,3,Rajagaluh,sector_hotel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,1396,17848328.68,29533554.0,1626367.18,0.055068,4,3,Rajagaluh,sector_hotel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,1709,218234788.12,69009371.29,2104502.0,0.030496,11,4,Malausma,sector_restoran,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,1087,955345289.94,12076234.97,8659931.08,0.717105,6,3,Bantarujeg,sector_hotel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-24,1517,596301977.1,52994463.69,7375848.45,0.139181,10,1,Jatiwangi,sector_reklame,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,1046,817748226.87,50998393.0,7010319.37,0.137462,4,2,Argapura,sector_parkir,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-16,1560,298920469.97,59159442.67,1350311.48,0.022825,3,4,Banjaran,sector_restoran,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,1517,619633187.5,29718034.84,2910521.05,0.097938,5,1,Sukahaji,sector_reklame,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,1517,871343356.46,14314071.19,3009965.72,0.21028,10,1,Ligung,sector_reklame,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,1803,219750029.56,6417059.76,214395.82,0.03341,2,3,Panyingkiran,sector_hotel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,1919,526269878.05,66340701.19,9405049.29,0.141769,8,2,Cikijing,sector_parkir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,1428,746708718.56,23930260.6,9006495.77,0.376364,7,1,Dawuan,sector_reklame,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,1197,562875402.3,50345690.59,6376503.71,0.126654,9,2,Kertajati,sector_parkir,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-05-07,1884,112402418.62,41324547.43,4945060.8,0.119664,2,1,Palasah,sector_reklame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-09-04,1950,65876389.49,93790296.72,5295699.07,0.056463,12,4,Sindang,sector_restoran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-19,1986,514346388.45,13016373.75,1014423.58,0.077934,3,4,Dawuan,sector_restoran,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-28,1263,753566710.35,9573115.75,4634438.37,0.48411,7,3,Malausma,sector_hotel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-28,1331,340278241.34,16611628.58,2351349.59,0.141548,11,2,Sumberjaya,sector_parkir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02-26,1682,893876880.01,93928887.79,8114187.02,0.086386,11,3,Kasokandel,sector_hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-03-03,1434,667960114.31,27646678.1,5692575.81,0.205905,6,3,Palasah,sector_hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-01-05,1566,635701221.57,53283119.39,2864314.46,0.053757,9,2,Maja,sector_parkir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-18,1501,801750649.23,66012086.15,6218384.32,0.094201,10,3,Kertajati,sector_hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-01-25,1044,555177606.0,87119071.75,2533899.98,0.029085,1,1,Majalengka,sector_reklame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-11-08,1159,738158363.48,7831872.27,8601497.85,1.098268,4,4,Argapura,sector_restoran,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-18,1495,489986002.62,82867054.96,8571929.75,0.103442,6,2,Cikijing,sector_parkir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-07,1753,414844235.69,82375717.32,8202356.34,0.099573,12,4,Sumberjaya,sector_restoran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-04-24,1430,356469789.16,23872714.67,791916.68,0.033172,8,1,Kadipaten,sector_reklame,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26,1547,520628383.9,19064641.86,5717313.07,0.299891,6,2,Sumberjaya,sector_parkir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-09-28,1442,24557412.83,8105475.55,9621507.99,1.187038,11,1,Sindang,sector_reklame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2024-09-03,1423,591187562.59,18506523.57,1659645.93,0.089679,4,4,Kertajati,sector_restoran,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-24,1571,425089045.46,84511989.14,5619817.08,0.066497,4,3,Cikijing,sector_hotel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,1760,16119076.18,29856603.87,857085.67,0.028707,2,4,Cigasong,sector_restoran,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
