tanggal,wp_id,sektor,kecamatan,omzet_est,tarif,expected_tax,paid_tax,ratio_paid_expected,month,txn_wp_month,sector_code,kec_code,anomaly_label,anomaly_score,is_anomaly
2024-11-27,WP0057,RESTORAN,Jatiwangi,113260964.08,0.1,11326096.41,13590542.35,1.1999317203410595,11,5,4,1,-1,0.02062070139959149,True
2025-02-23,WP0136,HOTEL,Kadipaten,177766923.14,0.1,17776692.31,14391099.8,0.8095487928260149,2,1,1,2,1,-0.0986532961150528,False
2025-01-14,WP0314,GALIAN_C,Dawuan,165457602.85,0.2,33091520.57,31619003.1,0.9555016679609777,1,3,0,0,-1,0.018525229821431566,True
2024-10-10,WP0079,HOTEL,Panyingkiran,124891900.12,0.1,12489190.01,13167725.24,1.0543298027699717,10,1,1,6,1,-0.12089081463748552,False
2025-07-04,WP0061,HOTEL,Kadipaten,129430485.3,0.1,12943048.53,12919427.51,0.9981750033660733,7,2,1,2,1,-0.1354340798130625,False
2024-12-27,WP0131,HOTEL,Leuwimunding,99239483.62,0.1,9923948.36,10919371.3,1.1003051309710767,12,1,1,3,1,-0.11218313059888341,False
2025-05-16,WP0132,RESTORAN,Leuwimunding,75302638.58,0.1,7530263.86,8173132.31,1.0853713046384539,5,1,4,3,1,-0.15939122643316989,False
2025-07-12,WP0257,GALIAN_C,Kadipaten,226445392.67,0.2,45289078.53,42075491.0,0.9290427707008593,7,3,0,2,1,-0.048993166452382386,False
2024-09-29,WP0067,RESTORAN,Leuwimunding,95462209.51,0.1,9546220.95,9348158.32,0.9792522474560995,9,1,4,3,1,-0.1566738660027317,False
2025-05-09,WP0115,REKLAME,Kadipaten,27421075.74,0.25,6855268.93,7045018.29,1.027679345907149,5,1,3,2,1,-0.16202456569519602,False
2025-03-16,WP0257,GALIAN_C,Kadipaten,265979798.4,0.2,53195959.68,57773238.21,1.086045604920648,3,3,0,2,1,-0.01634690219739321,False
2025-02-17,WP0001,HOTEL,Jatiwangi,140784578.39,0.1,14078457.84,16370917.83,1.1628345956676176,2,2,1,1,1,-0.07391202132679403,False
2024-10-08,WP0009,REKLAME,Panyingkiran,5000000.0,0.25,1250000.0,1167100.82,0.933680656,10,1,3,6,-1,0.004752148886799201,True
2024-11-19,WP0303,REKLAME,Majalengka,6359994.53,0.25,1589998.63,523254.45,0.3290911326131143,11,1,3,5,-1,0.0528451733423414,True
2025-06-26,WP0084,RESTORAN,Kadipaten,89372262.72,0.1,8937226.27,8864943.33,0.9919121506140406,6,1,4,2,1,-0.16041227133158775,False
2025-03-21,WP0226,RESTORAN,Dawuan,111884768.45,0.1,11188476.84,11018731.5,0.9848285568779888,3,1,4,0,1,-0.10838247839514592,False
2024-10-10,WP0073,RESTORAN,Majalengka,73991794.06,0.1,7399179.41,6163614.36,0.8330132327471163,10,1,4,5,1,-0.13338600979332826,False
2025-01-22,WP0043,RESTORAN,Jatiwangi,81560395.99,0.1,8156039.6,6518749.83,0.7992543133311908,1,2,4,1,1,-0.08772549140149066,False
2025-01-21,WP0187,PARKIR,Majalengka,15400400.36,0.25,3850100.09,3714405.29,0.964755513667698,1,1,2,5,1,-0.09888552217964253,False
2024-10-30,WP0182,RESTORAN,Maja,39080631.28,0.1,3908063.13,4276203.82,1.0942002925116516,10,1,4,4,1,-0.1035228632889148,False
